composition_id,alcohol_ratio,cnc_type,cnc_content,wn_400.000,wn_440.022,wn_480.044,wn_520.067,wn_560.089,wn_600.111,wn_640.133,wn_680.156,wn_720.178,wn_760.200,wn_800.222,wn_840.245,wn_880.267,wn_920.289,wn_960.311,wn_1000.333,wn_1040.356,wn_1080.378,wn_1120.400,wn_1160.422,wn_1200.445,wn_1240.467,wn_1280.489,wn_1320.511,wn_1360.534,wn_1400.556,wn_1440.578,wn_1480.600,wn_1520.623,wn_1560.645,wn_1600.667,wn_1640.689,wn_1680.712,wn_1720.734,wn_1760.756,wn_1800.778,wn_1840.800,wn_1880.823,wn_1920.845,wn_1960.867,wn_2000.889,wn_2040.912,wn_2080.934,wn_2120.956,wn_2160.978,wn_2201.000,wn_2241.023,wn_2281.045,wn_2321.067,wn_2361.090,wn_2401.112,wn_2441.134,wn_2481.156,wn_2521.178,wn_2561.201,wn_2601.223,wn_2641.245,wn_2681.267,wn_2721.290,wn_2761.312,wn_2801.334,wn_2841.356,wn_2881.379,wn_2921.401,wn_2961.423,wn_3001.445,wn_3041.468,wn_3081.490,wn_3121.512,wn_3161.534,wn_3201.556,wn_3241.579,wn_3281.601,wn_3321.623,wn_3361.645,wn_3401.667,wn_3441.690,wn_3481.712,wn_3521.734,wn_3561.757,wn_3601.779,wn_3641.801,wn_3681.823,wn_3721.845,wn_3761.868,wn_3801.890,wn_3841.912,wn_3881.934,wn_3921.957,wn_3961.979
PBPF-73,73,Pure,0.0,0.052397247,0.04972739,0.050436415,0.04314082,0.035267662,0.02886835,0.009543459,-0.0019031552,-0.0064164256,0.054759912,0.020109577,-0.013291954,-0.0042797327,0.063775316,0.11884852,0.11384487,0.19914022,0.19077383,0.16830333,0.29825482,0.10753292,0.08658998,0.14296666,0.15183459,0.024078388,0.023443667,0.018544719,0.01394962,-0.0074235187,-0.0075886645,0.0041306783,0.018808,0.06935728,0.5872603,0.12070317,0.05070999,-0.002190693,-0.0030648087,-0.0015702978,0.0011727588,-0.00096606597,-0.0015637785,4.930837e-05,0.00015342579,-0.0011107863,-0.0009275056,-0.00027991974,-0.0001790276,0.0004592111,-0.00073601055,-0.00042272964,-0.0010749353,-0.00060641655,-0.0006931484,-0.0005089793,-0.00080146384,-0.001879897,-0.002319161,-0.002310848,-0.0017007164,0.0048616724,0.02251866,0.050450202,0.06705766,0.074327305,0.0070752855,-0.002486071,-0.0025826197,0.0005017357,-0.00023322755,0.00071581535,0.0027745205,0.0045583523,0.006556718,0.008025471,0.011592081,0.014206716,0.014710299,0.011382518,0.004697597,-0.00049597677,-0.0022269525,-0.0019880547,-0.0017744802,-0.00074558955,0.0015177936,0.0022696694,0.0027292168,0.0039232965,0.004624827
PBPF-73P-0.05,73,P,0.05,0.05094904,0.050870806,0.053296722,0.045001663,0.03888206,0.031052187,0.013227925,0.0034751378,-0.0055401074,0.026013192,-0.006634013,-0.0067927786,-0.0048471745,0.07634424,0.1114672,0.10050701,0.1967512,0.18751101,0.17000075,0.33653784,0.12678294,0.09049993,0.122944765,0.071425326,0.024903974,0.02159224,0.021380235,0.010961031,-0.01297436,-0.0065244967,0.0037709489,0.020206694,0.08282562,0.6163056,0.13995902,0.052252382,-0.0010153935,-0.0029270242,-0.0026083929,-0.002111298,-0.0005563336,0.0015014489,-0.00061507156,-0.0001286057,-0.0001302249,-0.00082772097,-0.0013043468,-0.00095807586,2.1361819e-05,-0.00068584044,-0.0008990772,-0.0009531793,-0.0010018615,-0.00060289755,-0.0004221676,-0.0014764355,-0.0023698416,-0.0027756805,-0.002722911,-0.0026978157,0.0034635207,0.020147197,0.05086816,0.059223376,0.07272284,0.0070387605,-0.0034437056,-0.002893253,0.000685234,-0.0006267087,0.0001700182,0.0016090655,0.003196468,0.0041773315,0.006897905,0.010314475,0.013236654,0.013430964,0.010232814,0.0049923956,0.000107367414,-0.0024367475,-0.0028149849,-0.0017409816,-0.0006723026,0.0009239648,0.0026884086,0.0036544781,0.0047389977,0.0052925204
PBPF-73S-0.1,73,S,0.1,0.058026627,0.051067337,0.055832233,0.046853185,0.04098908,0.031879906,0.013556183,0.0013440442,-0.007498862,0.011825117,0.0009493923,-0.007182262,-0.006110146,0.07187063,0.10491594,0.10082851,0.21427806,0.17349692,0.16315648,0.3312684,0.12524344,0.09430804,0.15232453,0.020717712,0.020120062,0.023345651,0.02138911,0.010720092,-0.013641069,-0.004357494,0.0049298825,0.021225829,0.086551145,0.60677826,0.14176497,0.048843313,-0.00081890024,-0.0036884535,-0.0025722166,-0.0010970656,-0.0031066735,-0.0018119256,-0.00012223367,0.00047306815,-0.00019838472,-0.002283654,-0.00033426884,-0.0015758093,-0.0002544251,-0.0007964015,-0.0015092306,-0.0011624347,-0.0008852079,-0.00045215187,-0.00080675626,-0.0012607838,-0.0015897102,-0.0028752263,-0.0030672404,-0.0030483215,0.0018959641,0.01674837,0.0458636,0.05536066,0.071361475,0.006634294,-0.0033441735,-0.0031653163,0.0038952092,0.00016568381,-0.00018883683,0.0014693658,0.0024458729,0.004075707,0.006273772,0.009557769,0.012507891,0.013447623,0.00974536,0.0042731594,-0.00064297067,-0.002606145,-0.0033197436,-0.0019169328,-0.00043148288,0.00071686116,0.0016828077,0.0022344443,0.0034991007,0.004778588
PBPF-82P-0.2,82,P,0.2,0.033090595,0.02652469,0.031174274,0.028027127,0.025933856,0.029689819,0.0067700646,0.00024810186,-0.00050772086,0.20396732,0.009561715,0.006272397,-0.012651966,0.05728973,0.15922828,0.07249819,0.09579252,0.15280092,0.20699894,0.2181868,0.019942198,0.043868892,0.38610017,0.23420511,0.03686618,0.023751311,0.010651372,0.042565193,0.02338339,-0.0015943499,0.010900429,0.009338511,0.036965057,0.36793226,0.026984941,0.008521824,-1.0591589e-06,0.0013256936,0.0029430678,0.0034622403,0.002660988,0.0053031943,0.005773424,0.0046867654,0.0041553816,0.0035196887,0.0046573128,0.0048335125,0.005220329,0.0029729994,0.003846074,0.0035385822,0.0025895298,0.0028180277,0.0021121898,0.0017661394,0.0011124793,0.0013739566,0.0029933495,0.0046649016,0.016485892,0.038749427,0.04931828,0.05512824,0.06967742,0.008202853,0.0006161403,0.0013318695,0.006981962,0.004175583,0.0032290171,0.004784942,0.0054621273,0.0060953656,0.006855391,0.008804859,0.007808176,0.007250489,0.0050303764,0.0033735775,0.002725831,0.0018249974,0.002027262,0.0024842925,0.002847666,0.0027354057,0.0028996042,0.0034190628,0.0035041233,0.0036361702
PBPF-82S-0.05,82,S,0.05,0.044144917,0.039601956,0.041661862,0.03700694,0.032968175,0.030504461,0.009168001,0.0002839189,-0.0027487972,0.119576596,0.0009520929,-0.0030183122,-0.010747496,0.06700915,0.1358854,0.09299419,0.15287285,0.16744384,0.18389988,0.24711144,0.061888408,0.06923376,0.27289024,0.23097998,0.028078081,0.01936789,0.013572052,0.030859862,0.0045697675,-0.0059554502,0.007586853,0.013759155,0.051921874,0.5044465,0.07034171,0.026091209,-0.00012210378,-0.00074127485,0.0011498469,-0.0001802247,0.0015225597,0.0051774834,0.004549495,0.003003765,0.0022797573,0.0014819207,0.0032164885,0.0033740392,0.0036908383,0.00093329424,0.0018819168,0.0018239756,0.0015210225,0.0011949412,0.0009151067,0.0008478856,-0.00014054144,-0.00013948264,0.0005727754,0.0017654573,0.011041061,0.0282882,0.05041603,0.055949148,0.07129157,0.008361666,-0.0005697878,-0.00035861108,0.005661866,0.0031569968,0.0027991354,0.0049657347,0.0064169555,0.0077429805,0.008674351,0.010669674,0.0109495185,0.009782628,0.0069200587,0.003972256,0.000411714,0.00015653108,0.00091178,0.0011092405,0.0020402055,0.0019865804,0.002658709,0.0027284632,0.0035084174,0.004630053
PBPF-91S-0.05,91,S,0.05,0.041047934,0.03404275,0.034674563,0.026488824,0.022125568,0.028071595,0.0038368818,-0.00044364374,0.003164208,0.15775184,0.004715611,0.0030243504,-0.00972901,0.07100116,0.13621657,0.07400463,0.12401077,0.10361901,0.16237354,0.24146335,0.06890811,0.07763698,0.36350176,0.21536638,0.019451605,0.02352161,0.008815518,0.036713876,0.014555872,-0.0011097846,0.010831086,0.015077355,0.070494525,0.41537824,0.05381732,0.025460947,-3.6090096e-05,0.0010161386,0.0029889897,0.0031703585,0.0046741217,0.004951908,0.0065925396,0.006021306,0.0053531365,0.00639631,0.005140113,0.0058444943,0.0063852053,0.0032937997,0.0032206427,0.0038232657,0.0033913867,0.0027816782,0.0025300155,0.002472324,0.0022525091,0.0018641648,0.0019175826,0.0031883526,0.007882542,0.013149215,0.028382432,0.0348056,0.059569057,0.008662286,0.0011860075,0.0020287542,0.010584672,0.005068047,0.0027357044,0.0037754516,0.003963524,0.0044757742,0.005081949,0.007498314,0.0069611766,0.006779624,0.005212299,0.0038651347,0.0021640244,0.0017348872,0.0023936518,0.0024472305,0.0032654833,0.0030049647,0.0037199566,0.0034457373,0.0037685928,0.0043211095
PBPF-73A-0.05,73,A,0.05,0.07284913,0.056574434,0.0622954,0.05229707,0.044589274,0.03559322,0.014145901,0.0018647441,-0.009534838,0.012387384,-0.0030147457,-0.0088369595,-0.007919475,0.0762425,0.11887532,0.10288935,0.22812642,0.2111138,0.18163414,0.29246223,0.11078398,0.08834145,0.17475197,0.01864565,0.017495207,0.017308714,0.027689375,0.013452443,-0.016522326,-0.009161798,0.0024490173,0.029415214,0.08247924,0.58657765,0.12624426,0.041734073,-0.0034766558,-0.005577212,-0.0042011887,-0.0049441108,6.786722e-05,-0.0015014523,-0.0010608898,-0.0021001885,-0.0048457757,-0.002311305,-0.0023808503,-0.0024208364,-0.0015892609,-0.0024817903,-0.0024970612,-0.0029749041,-0.0031110898,-0.0027980325,-0.00220567,-0.0034397761,-0.0044672024,-0.0050802655,-0.004177419,-0.004291659,0.0033564172,0.026553087,0.056725897,0.07343555,0.07316342,0.0033996182,-0.00581837,-0.0052846293,0.0032067192,-0.0010354583,-0.000630098,0.0016699383,0.004284072,0.005805366,0.008082237,0.010327135,0.0124677615,0.011275983,0.008649191,0.0030254326,-0.002601502,-0.0046733576,-0.004797236,-0.0036445125,-0.0019354314,-0.001275907,0.00019026618,0.0013821906,0.0030486286,0.003984555
PBPF-82,82,Pure,0.0,0.04376776,0.042390373,0.041744106,0.034491632,0.029189926,0.026010176,0.007768862,0.0013969993,-0.00208555,0.095129505,0.002642888,-0.007027569,-0.005078668,0.062361896,0.09939603,0.07484416,0.122153245,0.10759029,0.15123312,0.36505333,0.126102,0.08886969,0.19332492,0.17923027,0.02275811,0.030704623,0.012698985,0.017724164,-0.002111612,-0.005807471,0.00977918,0.02651084,0.1072578,0.50663614,0.12524506,0.048770733,-0.00018872523,-0.0013059331,0.000581085,0.0011692741,0.0022832924,0.0034782453,0.002929827,0.0033783831,0.001689053,0.0021193943,0.0024981475,0.0024390738,0.0029686042,0.0019754914,0.0020941943,0.0020031806,0.002578124,0.0031463352,0.0029008947,0.0022289641,0.0015869387,0.00082582503,-0.00016058738,0.00019234537,0.0028303512,0.008570952,0.029116306,0.039858144,0.060689766,0.010014022,0.00012351367,3.327396e-05,0.003972482,0.0027948553,0.0024622064,0.0037472064,0.0043188445,0.005167644,0.007000516,0.009798059,0.0122364,0.0119427815,0.010093901,0.005361309,0.001500014,0.0009065402,0.00037001818,0.0010664684,0.0024918697,0.0036246616,0.0041856444,0.0049000895,0.0061630863,0.0070483945
